category,item code,item,assigned sub group,UOM,SIZE,QTY,approver,with ATD and amount
uniform & PPEs,CM.CU.01.0033,"Uniform, Black Pants  Male -L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0032,"Uniform, Black Pants  Male -M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0031,"Uniform, Black Pants  Male -S",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0034,"Uniform, Black Pants  Male -XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0035,"Uniform, Black Pants  Male -XXL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0054,"Uniform, Black Pants Female - 5XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0043,"Uniform, Black Pants Female -3XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0044,"Uniform, Black Pants Female -4XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0040,"Uniform, Black Pants Female -L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0039,"Uniform, Black Pants Female -M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0038,"Uniform, Black Pants Female -S",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0041,"Uniform, Black Pants Female -XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0042,"Uniform, Black Pants Female -XXL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0022,"Uniform, Blue Lab Gown -L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0021,"Uniform, Blue Lab Gown -M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0027,"Uniform, Blue Lab Gown -XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0028,"Uniform, Blue Lab Gown -XXL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0013,"Uniform, Checkered Pants -3XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0033,"Uniform, Checkered Pants -5XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0010,"Uniform, Checkered Pants -L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0009,"Uniform, Checkered Pants -M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0008,"Uniform, Checkered Pants -S",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0011,"Uniform, Checkered Pants -XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0012,"Uniform, Checkered Pants -XXL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.04.0004,"Uniform, Eng. Pants XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.04.0002,"Uniform, Eng. Pants -L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.04.0003,"Uniform, Eng. Pants -M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.04.0001,"Uniform, Eng. Pants -S",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0006,"Uniform, Green Lab Gown -M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0005,"Uniform, Green Lab Gown -S",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0003,"Uniform, Green Lab Gown -XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0004,"Uniform, Green Lab Gown -XXL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.06.0006,"Uniform, Internal Security - 2XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.06.0007,"Uniform, Internal Security - 3XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.06.0008,"Uniform, Internal Security - 4XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.06.0004,"Uniform, Internal Security  -L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.06.0003,"Uniform, Internal Security  -M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.06.0002,"Uniform, Internal Security -S",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.06.0005,"Uniform, Internal Security -XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0033,"Uniform, Maroon Lab Gown - L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0011,"Uniform, Maroon Lab Gown -M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.03.0012,"Uniform, Maroon Lab Gown -XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0050L,"Uniform, Maternity White Long Sleeve Blouse L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0050XL,"Uniform, Maternity White Long Sleeve Blouse XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.01.0050XXL,"Uniform, Maternity White Long Sleeve Blouse XXL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0043,"Uniform, Polo Chef Jacket Black -4XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0040,"Uniform, Polo Chef Jacket Black -5XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0041,"Uniform, Polo Chef Jacket Black -6XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0022,"Uniform, Polo Chef Jacket Black -L",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0021,"Uniform, Polo Chef Jacket Black -M",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0020,"Uniform, Polo Chef Jacket Black -S",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0023,"Uniform, Polo Chef Jacket Black -XL",Facilities Management -laundry,pc,,,,
uniform & PPEs,CM.CU.02.0018,"Uniform, Polo Chef Jacket Red -2XL",Facilities Management -laundry,pc,,,,
